GeneID,GrupoA_1,GrupoA_2,GrupoA_3,GrupoB_1,GrupoB_2,GrupoB_3,GrupoB_4
22808,7016,846,672,7137,971,1070,1504
80321,704,502,776,924,723,609,1070
55179,219,340,385,244,150,117,453
5291,550,1720,2887,3346,1675,1419,1514
56945,974,1180,1578,1501,781,809,1582
9276,10458,10535,12591,15228,7690,6926,10695
100507291,29,38,67,55,35,42,70
5947,195,111,1488,209,39,1,718
349565,92,120,234,280,92,50,71
64084,227,21165,33,42,0,88,10
55186,1002,1244,2910,3977,1550,1544,1145
92369,24,207,685,506,144,269,116
92370,753,3110,4215,4471,243,1059,303
253461,1490,3157,4284,3155,1530,2110,1832
5922,623,393,801,1030,378,370,553
9616,2263,2468,3037,2169,1108,1639,2517
483,4672,5421,8884,3439,2631,3108,4347
7029,2560,2146,3636,2129,1582,2947,2641
256356,701,451,1142,893,570,778,603
54464,1204,1237,2343,2846,1290,827,1087
545,1265,1456,2021,2201,1506,1178,1347
5357,666,230,1012,625,982,206,849
7220,325,267,835,690,479,320,549
26577,219,29,336,2843,313,175,116
100289361,17,24,55,29,18,27,57
23350,2972,4132,4916,7502,5079,3695,4437
9435,1586,9551,6593,11374,622,7839,2084
285195,38,68,136,294,22,141,85
205428,223,382,4917,2552,2864,717,851
5352,3203,5739,9580,25652,1043,4273,3279
57088,406,154,400,1213,17,503,50
5359,3717,481,726,869,213,434,442
84107,117,101,226,626,333,23,445
7545,506,625,6805,3763,706,622,2047
2992,910,1919,1887,939,973,999,1635
6596,1322,2466,3075,5519,3047,2503,3941
100873945,7,15,26,44,14,19,39
84343,1175,950,1348,1287,915,711,1780
1356,101,77,130,149,89,81,158
116441,119,24,2288,5,22,65,2
4071,2913,934,5813,675,48,1437,4591
25937,11001,18335,48875,49787,4394,17444,9730
100128025,6,12,21,15,10,23,18
51122,2255,1682,2880,2143,1423,1580,2683
11342,1373,1612,1654,2042,762,1757,1516
5217,7939,10086,17238,17691,4350,9896,19571
653659,853,1140,1303,1620,700,702,1633
9819,1308,1526,2163,1689,405,1355,751
27230,4545,3299,4645,2951,2403,1860,2858
83939,2883,3146,3487,3704,2178,1833,4499
51714,2598,3204,8950,5087,2602,2922,3565
101928085,20,12,39,8,5,10,35
6478,989,811,980,1429,670,598,640
116931,283,580,1114,5105,840,1450,741
285313,149,57,201,703,142,245,75
4154,5604,4458,7162,9841,4015,3572,3621
401093,289,249,379,222,29,60,221
5028,54,666,289,824,482,762,968
5912,1368,1313,1306,1713,770,1245,682
26084,329,869,922,2496,358,2822,853
170506,2660,2763,4706,4614,2117,3065,2725
23007,708,749,4794,351,1048,375,745
285315,101,166,326,295,255,157,217
9197,829,1594,2426,3559,930,1017,862
8833,2728,4101,5013,4428,4455,2398,4463
7881,2421,2674,2236,3970,1671,1578,1331
6747,5691,6689,5488,9575,3752,3243,3506
25976,1753,2049,2865,3012,879,933,1928
730091,1,50,45,41,14,8,139
389170,11,6,33,21,8,2,27
57018,1187,1012,1739,2162,1418,1406,1129
79674,74,11,12,90,1,16,26
5806,1418,720,307,272,48,2033,284
6474,491,377,638,1924,183,176,414
51319,920,1294,1534,2540,890,966,2336
100996447,39,47,55,100,41,43,102
4291,785,375,445,1312,610,460,1206
85476,1077,1954,2828,3361,2105,1795,2170
5918,2,10,18,12,3,2,26
64747,868,1416,1626,2447,670,945,1260
100505385,633,1969,1789,2821,1251,1624,1714
29970,639,2041,1855,2998,1324,1701,1797
3592,24,107,41,133,128,74,50
401097,249,28,13,76,126,16,5
100174949,755,666,1002,1677,563,718,893
57560,687,617,933,1567,528,692,804
10051,5710,5649,9605,8842,11363,5616,8729
286827,229,206,256,575,98,103,328
3840,3157,4383,5927,3384,2772,4531,3271
677767,64,69,71,43,36,36,81
151742,173,269,648,349,154,1002,412
8706,1365,983,2478,1453,1179,193,1368
51068,3161,1899,2636,3945,2572,1913,3646
165679,26,26,63,1144,24,141,4
101243545,2563,4189,2415,3672,2913,2136,4673
590,1316,1515,2497,3732,2349,2015,4523
11235,1384,1041,1982,1423,1182,685,2489
5274,1098,202,2949,702,362,103,153
27333,3861,2762,6237,6893,4586,2055,3617
2122,883,75,250,623,3,172,299
55892,1253,882,1198,1234,919,739,1883
151827,181,64,199,303,58,84,551
100128164,43,47,50,52,14,67,36
7095,6147,5539,7736,8071,4660,5097,14668
26996,107,13,55,13,1,7,11
80012,1363,1602,3180,4287,1945,2006,2138
5584,1680,1715,2828,3255,1439,1473,2908
6498,1549,1207,1441,1971,620,460,522
5010,39,35,10,265,2,2,1124
200916,695,2819,414,4204,772,376,1888
56648,435,385,858,798,583,261,9
23043,1459,2055,5240,3954,1652,3828,3274
5337,363,215,876,578,874,561,1045
64778,4170,7905,7976,9185,2240,3425,3710
8743,851,15,98,34,53,0,26
57552,474,2036,3081,1752,394,949,652
1894,2674,2745,4971,4861,3411,2364,7867
22871,413,2153,2370,8000,1309,3025,2751
254827,144,741,817,1611,132,561,450
79718,2680,2538,5428,7504,4323,2675,5294
10242,35,48,592,154,56,21,94
64393,1290,12401,10611,10795,1675,12050,3923
5290,2183,1443,2341,3530,945,913,4652
27094,118,104,142,123,69,29,290
51193,1197,1185,2035,2273,1331,1207,3479
55669,2193,2199,2845,3194,1616,1577,6440
59345,7154,3818,5152,29764,2659,3946,15144
86,3238,2288,2882,3157,1846,1735,8301
57129,2067,1837,1989,1837,1354,1259,6430
4711,2297,2662,3566,4126,2759,2548,8904
8975,1102,1711,3064,2221,1157,1506,3398
151613,511,649,905,1182,437,879,1098
339829,12,16,106,83,22,55,17
8087,4074,4589,7969,7700,6498,3285,10985
131118,543,656,944,663,645,499,1922
347689,3421,3263,11411,8496,5634,12842,20503
6657,7149,12822,18272,22602,15162,14022,22124
100996490,14,0,39,19,2,14,3
23200,2011,2667,3712,3853,2046,1290,4113
54165,1290,963,2028,2178,1468,988,4443
56922,657,1292,1472,2360,776,1064,2491
27074,290,29,9,1,63,3,12
23101,135,198,267,529,202,139,441
84002,810,1117,2113,5022,1301,1113,3208
100505687,353,225,629,523,407,290,1436
54800,877,937,1422,1940,1145,778,1208
55689,2076,2763,2320,3519,1634,2128,3447
79929,99,337,280,224,103,769,606
55486,1147,1433,1797,1831,1102,1050,3667
10057,535,775,923,1057,525,682,827
8893,1245,2123,2285,2815,1341,1365,3266
1857,3845,6125,6013,6317,2820,4877,7745
1173,10968,21930,24516,26410,8944,11308,30857
55324,1006,1721,2039,2275,765,1059,2414
90113,111,11,6,12,25,19,12
10195,778,1081,904,793,477,520,947
110599564,102,57,94,39,40,29,81
110599583,31,16,29,15,12,8,27
94032,75,812,355,332,560,381,1132
5708,8760,17726,15429,19140,7364,7479,30692
1981,12924,24342,26069,28459,10973,13705,21434
131408,361,666,773,2108,901,773,1593
1181,200,424,325,1101,407,938,1406
5437,1049,1247,1370,2143,893,881,2418
8646,355,287,262,406,58,128,553
2049,768,1788,8755,1148,2545,2018,1636
64110,1789,2273,6462,4200,2718,3158,5675
107986163,66,63,960,137,109,99,214
23355,1963,2077,2356,2834,1007,1580,5201
285382,210,617,168,1156,138,1117,1545
1962,25,148,306,272,144,173,1414
9175,901,1321,1240,2301,805,946,4976
90407,425,701,558,675,269,407,658
59343,1720,1830,1769,2654,1221,1801,4748
10644,4079,6969,5124,9277,1442,2001,7938
6434,5693,6023,8102,8529,5127,4995,12508
2119,3506,7882,14721,14715,6467,8756,14173
1608,25,34,570,2849,212,264,1856
